Codigo,Nombre,Provincia,Superficie,Poblacion_2012,Densidad,IDH_2005
09107,Gorbea,Cautín,694.5,15481,22.3,0.644
09108,Lautaro,Cautín,901.1,35451,39.3,0.669
09109,Loncoche,Cautín,976.8,22191,22.7,0.652
09110,Melipeuco,Cautín,1107.3,5451,4.9,0.629
09111,Nueva Imperial,Cautín,732.5,32109,43.8,0.629
09112,Padre Las Casas,Cautín,400.7,72135,180.0,0.662
09113,Perquenco,Cautín,330.7,6911,20.9,0.630
09114,Pitrufquén,Cautín,580.7,23776,40.9,0.663
09115,Pucón,Cautín,1248.5,29987,24.0,0.767
09116,Saavedra,Cautín,400.8,13481,33.6,0.574
09117,Teodoro Schmidt,Cautín,649.9,15793,24.3,0.607
09118,Toltén,Cautín,860.4,10403,12.1,0.617
09119,Vilcún,Cautín,1420.9,23823,16.8,0.643
09120,Villarrica,Cautín,1291.1,56178,43.5,0.698
09121,Cholchol,Cautín,427.9,10825,25.3,
09201,Angol,Malleco,1194.4,51136,42.8,0.707
09202,Collipulli,Malleco,1295.9,21705,16.7,0.633
09203,Curacautín,Malleco,1664.0,15728,9.5,0.657
09204,Ercilla,Malleco,499.7,9148,18.3,0.609
09205,Lonquimay,Malleco,3914.2,11341,2.9,0.629
09206,Los Sauces,Malleco,849.8,6490,7.6,0.602
09207,Lumaco,Malleco,1119.0,10479,9.4,0.603
09208,Purén,Malleco,464.9,11789,25.4,0.594
09209,Renaico,Malleco,267.4,9028,33.8,0.615
09210,Traiguén,Malleco,908.0,18357,20.2,0.657
09211,Victoria,Malleco,1256.0,33127,26.4,0.686
14101,Valdivia,Valdivia,1016.0,163148,138.4,0.754
14102,Corral,Valdivia,767.0,5084,7.1,0.658
14103,Lanco,Valdivia,532.4,16663,28.4,0.648
14104,Los Lagos,Valdivia,1791.2,18733,11.3,0.658
14105,Máfil,Valdivia,583.0,7006,12.3,0.655
14106,Mariquina,Valdivia,1320.5,19823,15.1,0.653
14107,Paillaco,Valdivia,896.0,19898,22.0,0.647
14108,Panguipulli,Valdivia,3292.0,35185,10.1,0.627
14201,La Unión,Ranco,2137.0,38544,18.4,0.687
14202,Futrono,Ranco,2267.5,15811,6.6,0.637
14203,Lago Ranco,Ranco,1763.3,9380,5.7,0.606
14204,Río Bueno,Ranco,2211.7,31343,15.5,0.624
10101,Puerto Montt,Llanquihue,1673.0,248945,142.5,0.718
10102,Calbuco,Llanquihue,590.8,34902,59.1,0.642
10103,Cochamó,Llanquihue,3910.8,4326,1.1,0.690
10104,Fresia,Llanquihue,1278.1,12454,9.7,0.657
10105,Frutillar,Llanquihue,831.4,17756,21.4,0.669
10106,Los Muermos,Llanquihue,1245.8,16522,13.3,0.648
10107,Llanquihue,Llanquihue,420.8,18151,43.1,0.695
10108,Maullín,Llanquihue,860.8,13914,16.2,0.691
10109,Puerto Varas,Llanquihue,4064.9,39414,9.7,0.748
10201,Castro,Chiloé,472.5,50764,107.4,0.720
10202,Ancud,Chiloé,1752.4,41960,23.9,0.705
10203,Chonchi,Chiloé,1362.1,14639,10.7,0.641
10204,Curaco de Vélez,Chiloé,80.0,3884,48.6,0.702
10205,Dalcahue,Chiloé,1239.4,14548,11.7,0.690
10206,Puqueldón,Chiloé,97.3,4097,42.1,0.628
10207,Queilén,Chiloé,332.9,5319,16.0,0.646
10208,Quellón,Chiloé,3244.0,30964,9.5,0.670
10209,Quemchi,Chiloé,440.3,9191,20.9,0.656
10210,Quinchao,Chiloé,160.7,9043,56.3,0.648
10301,Osorno,Osorno,951.0,153797,152.9,0.700
10302,Puerto Octay,Osorno,1795.7,9480,5.3,0.679
10303,Purranque,Osorno,1458.8,20768,14.2,0.627
10304,Puyehue,Osorno,1597.9,11370,7.1,0.675
10305,Río Negro,Osorno,1265.7,13425,10.6,0.633
10306,San Juan de la Costa,Osorno,1517.0,7997,5.3,0.510
10307,San Pablo,Osorno,637.3,9150,14.4,0.625
10401,Chaitén,Palena,8470.5,7122,0.8,0.704
10402,Futaleufú,Palena,1280.0,1836,1.4,0.665
10403,Hualaihué,Palena,2787.7,8426,3.0,0.659
10404,Palena,Palena,2763.7,1665,0.6,0.667
11101,Coyhaique,Coyhaique,7290.2,59221,6.8,0.751
11102,Lago Verde,Coyhaique,5422.3,925,0.2,0.637
11201,Aysén,Aysén,29796.4,27187,0.9,0.674
11202,Cisnes,Aysén,16093.0,6166,0.3,0.725
11203,Guaitecas,Aysén,620.6,1862,2.4,0.654
11301,Cochrane,Capitán Prat,8599.5,2759,0.3,0.668
11302,O'Higgins,Capitán Prat,8182.5,700,0.1,0.572
11303,Tortel,Capitán Prat,19710.6,531,0.0,0.655
11401,Chile Chico,General Carrera,5737.1,5334,0.8,0.707
11402,Río Ibáñez,General Carrera,5997.2,2208,0.4,0.654
12101,Punta Arenas,Magallanes,17846.3,125483,6.8,0.748
12102,Laguna Blanca,Magallanes,3695.6,631,0.0,0.785
12103,Río Verde,Magallanes,17248.0,363,0.0,0.784
12104,San Gregorio,Magallanes,6883.7,731,0.1,0.823
12201,Cabo de Hornos,Antártica Chilena,15578.7,1677,0.1,0.806
12202,Antártica,Antártica Chilena,1250257.6,127,0.0,
12301,Porvenir,Tierra del Fuego,9707.4,5650,0.8,0.731
12302,Primavera,Tierra del Fuego,4253.4,803,0.2,0.774
12303,Timaukel,Tierra del Fuego,10758.9,873,0.1,0.717
12401,Natales,Última Esperanza,49924.1,21327,0.4,0.699
12402,Torres del Paine,Última Esperanza,6630.0,1163,0.1,0.730
13101,Santiago,Santiago,22.0,237369,8654.8,0.807
13102,Cerrillos,Santiago,21.0,79195,3422.1,0.743
13103,Cerro Navia,Santiago,11.0,128090,13361.4,0.683
13104,Conchalí,Santiago,10.7,121118,11229.0,0.707
13105,El Bosque,Santiago,14.2,162671,12365.0,0.711
13106,Estación Central,Santiago,15.0,119292,8601.5,0.735
13107,Huechuraba,Santiago,44.8,87667,1886.6,0.737
13108,Independencia,Santiago,7.0,73874,9354.1,0.709
13109,La Cisterna,Santiago,10.0,80910,8511.8,0.775
13110,La Florida,Santiago,70.2,397497,5209.0,0.804
13111,La Granja,Santiago,10.0,121214,13252.0,0.689
13112,La Pintana,Santiago,30.6,202146,8511.8,0.679
13113,La Reina,Santiago,23.0,91927,9618.3,0.883
13114,Las Condes,Santiago,99.0,289949,2524.2,0.933
13115,Lo Barnechea,Santiago,1024.0,97230,73.0,0.912
13116,Lo Espejo,Santiago,7.0,99527,15667.0,0.657
13117,Lo Prado,Santiago,7.0,94766,13100.4,0.715
13118,Macul,Santiago,12.9,111436,8656.5,0.806
13119,Maipú,Santiago,135.5,805000,3876.2,0.902
13120,Ñuñoa,Santiago,16.9,195410,8937.5,0.860
13121,Pedro Aguirre Cerda,Santiago,10.0,104018,11456.0,0.708
