RegionID,Region,Provincia,Comuna,Superficie,Poblacion,Densidad,IDH_2005
9,Maule,Linares,Retiro,827,18760,22,0.649
9,Maule,Talca,Río Claro,431,13020,30.2,0.671
9,Maule,Curicó,Romeral,1597,14460,7.9,0.668
9,Maule,Curicó,Sagrada Familia,548.8,17839,31.9,0.672
9,Maule,Talca,San Clemente,4504,39554,9.5,0.659
9,Maule,Linares,San Javier,1313,40881,31,0.654
9,Maule,Talca,San Rafael,263.5,8512,29.1,0.629
9,Maule,Talca,Talca,232,264842,928.5,0.731
9,Maule,Curicó,Teno,618.4,28228,45.6,0.648
9,Maule,Curicó,Vichuquén,426,4335,11.5,0.678
9,Maule,Linares,Villa Alegre,190,15428,77.5,0.648
9,Maule,Linares,Yerbas Buenas,262,17158,61.5,0.64
10,Biobío,Biobío,Alto Biobío,2124.6,10039,4.7,
10,Biobío,Biobío,Antuco,1884.1,3774,2,0.662
10,Biobío,Arauco,Arauco,956.1,41153,43,0.704
10,Biobío,Ñuble,Bulnes,425.4,21542,50.6,0.626
10,Biobío,Biobío,Cabrero,639.8,29532,46.2,0.635
10,Biobío,Arauco,Cañete,1089.2,33535,30.8,0.641
10,Biobío,Concepción,Chiguayante,71.5,115366,1613.5,0.764
10,Biobío,Ñuble,Chillán,511.2,175585,343.5,0.714
10,Biobío,Ñuble,Chillán Viejo,291.8,29199,100.1,0.732
10,Biobío,Ñuble,Cobquecura,570.3,5173,9.1,0.633
10,Biobío,Ñuble,Coelemu,342.3,15461,45.2,0.611
10,Biobío,Ñuble,Coihueco,1776.6,24714,13.9,0.639
10,Biobío,Concepción,Concepción,221.6,227768,1027.8,0.757
10,Biobío,Arauco,Contulmo,638.8,5188,8.1,0.603
10,Biobío,Concepción,Coronel,279.4,107508,384.8,0.682
10,Biobío,Arauco,Curanilahue,994.3,33855,31,0.643
10,Biobío,Ñuble,El Carmen,664.3,11830,17.8,0.611
10,Biobío,Concepción,Florida,608.6,9867,16.2,0.604
10,Biobío,Concepción,Hualpén,53.5,86176,1610.8,
10,Biobío,Concepción,Hualqui,530.5,21934,41.3,0.666
10,Biobío,Biobío,Laja,339.8,20964,61.7,0.665
10,Biobío,Arauco,Lebu,561.4,25790,45.9,0.633
10,Biobío,Arauco,Los Álamos,599.1,20723,34.6,0.645
10,Biobío,Biobío,Los Ángeles,1748.2,195813,112,0.696
10,Biobío,Concepción,Lota,135.8,48045,353.8,0.643
10,Biobío,Biobío,Mulchén,1925.3,28517,14.8,0.639
10,Biobío,Biobío,Nacimiento,934.9,26145,28,0.656
10,Biobío,Biobío,Negrete,156.5,8933,57.1,0.629
10,Biobío,Ñuble,Ninhue,401.2,5278,13.2,0.569
10,Biobío,Ñuble,Ñiquén,493.1,10063,20.4,0.629
10,Biobío,Ñuble,Pemuco,562.7,9120,16.2,0.631
10,Biobío,Concepción,Penco,107.6,52389,486.9,0.689
10,Biobío,Ñuble,Pinto,1164,10883,9.3,0.618
10,Biobío,Ñuble,Portezuelo,282.3,5061,17.9,0.599
10,Biobío,Biobío,Quilaco,1123.7,3722,3.3,0.635
10,Biobío,Biobío,Quilleco,1121.8,10396,9.3,0.641
10,Biobío,Ñuble,Quillón,423,15525,36.7,0.59
10,Biobío,Ñuble,Quirihue,589,11851,20.1,0.594
10,Biobío,Ñuble,Ránquil,248.3,4983,20.1,0.586
10,Biobío,Ñuble,San Carlos,874,51335,58.7,0.653
10,Biobío,Ñuble,San Fabián,1568.3,3503,2.2,0.618
10,Biobío,Ñuble,San Ignacio,363.6,15770,43.4,0.618
10,Biobío,Ñuble,San Nicolás,490.5,10051,20.5,0.625
10,Biobío,Concepción,San Pedro de La Paz,112.5,94827,842.9,0.787
10,Biobío,Biobío,San Rosendo,92.4,3627,39.3,0.647
10,Biobío,Biobío,Santa Bárbara,1254.9,14612,11.6,0.637
10,Biobío,Concepción,Santa Juana,731.2,13331,18.2,0.626
10,Biobío,Concepción,Talcahuano,92.3,171673,1859.9,0.731
10,Biobío,Arauco,Tirúa,624.4,10859,17.4,0.584
10,Biobío,Concepción,Tomé,494.5,55764,112.8,0.668
10,Biobío,Ñuble,Treguaco,313.1,4995,16,0.562
10,Biobío,Biobío,Tucapel,914.9,13442,14.7,0.655
10,Biobío,Biobío,Yumbel,727,20572,28.3,0.597
10,Biobío,Ñuble,Yungay,823.5,18234,22.1,0.669
11,La Araucanía,Malleco,Angol,1194.4,51136,42.8,0.707
11,La Araucanía,Cautín,Carahue,1340.6,25718,19.2,0.604
11,La Araucanía,Cautín,Cholchol,427.9,10825,25.3,
